,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
0,58,management,married,tertiary,no,2143.0,yes,no,unknown,5,may,261.0,1,-1,0,unknown,no
1,44,technician,single,secondary,no,29.0,yes,no,unknown,5,may,,1,-1,0,unknown,no
2,33,entrepreneur,married,secondary,no,,yes,yes,unknown,5,may,76.0,1,-1,0,unknown,no
3,47,blue-collar,married,unknown,no,,yes,no,unknown,5,may,92.0,1,-1,0,unknown,no
4,33,unknown,single,unknown,no,1.0,no,no,unknown,5,may,198.0,1,-1,0,unknown,no
5,35,management,married,tertiary,no,231.0,yes,no,unknown,5,may,,1,-1,0,unknown,no
6,28,management,single,tertiary,no,447.0,yes,yes,unknown,5,may,,1,-1,0,unknown,no
7,42,entrepreneur,divorced,tertiary,yes,,yes,no,unknown,5,may,,1,-1,0,unknown,no
8,58,retired,married,primary,no,121.0,yes,no,unknown,5,may,50.0,1,-1,0,unknown,no
9,43,technician,single,secondary,no,,yes,no,unknown,5,may,,1,-1,0,unknown,no
10,41,admin.,divorced,secondary,no,270.0,yes,no,unknown,5,may,,1,-1,0,unknown,no
11,29,admin.,single,secondary,no,390.0,yes,no,unknown,5,may,,1,-1,0,unknown,no
12,53,technician,married,secondary,no,,yes,no,unknown,5,may,517.0,1,-1,0,unknown,no
13,58,technician,married,unknown,no,,yes,no,unknown,5,may,71.0,1,-1,0,unknown,no
14,57,services,married,secondary,no,162.0,yes,no,unknown,5,may,174.0,1,-1,0,unknown,no
15,51,retired,married,primary,no,229.0,yes,no,unknown,5,may,,1,-1,0,unknown,no
16,45,admin.,single,unknown,no,13.0,yes,no,unknown,5,may,98.0,1,-1,0,unknown,no
17,57,blue-collar,married,primary,no,,yes,no,unknown,5,may,38.0,1,-1,0,unknown,no
18,60,retired,married,primary,no,,yes,no,unknown,5,may,219.0,1,-1,0,unknown,no
19,33,services,married,secondary,no,,yes,no,unknown,5,may,54.0,1,-1,0,unknown,no
20,28,blue-collar,married,secondary,no,723.0,yes,yes,unknown,5,may,,1,-1,0,unknown,no
21,56,management,married,tertiary,no,779.0,yes,no,unknown,5,may,164.0,1,-1,0,unknown,no
22,32,blue-collar,single,primary,no,,yes,yes,unknown,5,may,160.0,1,-1,0,unknown,no
23,25,services,married,secondary,no,50.0,yes,no,unknown,5,may,,1,-1,0,unknown,no
24,40,retired,married,primary,no,0.0,yes,yes,unknown,5,may,181.0,1,-1,0,unknown,no
25,44,admin.,married,secondary,no,-372.0,yes,no,unknown,5,may,,1,-1,0,unknown,no
26,39,management,single,tertiary,no,255.0,yes,no,unknown,5,may,296.0,1,-1,0,unknown,no
27,52,entrepreneur,married,secondary,no,,yes,yes,unknown,5,may,,1,-1,0,unknown,no
28,46,management,single,secondary,no,,yes,no,unknown,5,may,255.0,2,-1,0,unknown,no
