"event","site","date","round","white","black","result","whiteelo","blackelo","eco","pgn","elo_difference","adjusted_white_elo","adjusted_black_elo","adjusted_elo_difference","winner","eco_cat"
"FIDE World Cup 2011","Khanty-Mansiysk RUS",2011-08-28,1.1,"Kaabi, Mejdi","Karjakin, Sergey","0-1",2344,2788,"D15","1. d4 d5 2. Nf3 Nf6 3. c4 c6 4. Nc3 dxc4 5. e3 b5 6. a4 b4 7. Nb1 Ba6 8. Ne5 e6 9. Nxc4 c5 10. b3 cxd4 11. exd4 Nc6 12. Be3 Be7 13. Be2 O-O 14. O-O Nd5 15. Bf3 Rc8 16. Re1 Bf6 17. Ra2 Na5 18. Nxa5 Qxa5 19. Rc2 Be7 20. h3 Nxe3 21. fxe3 Bh4 22. Ree2 Bxe2 23. Rxe2 Qc7 24. Nd2 Qc1 25. Qxc1 Rxc1+ 26. Kh2 Rfc8 27. Nc4 Rb1 28. g3 Bd8 29. d5 Rxb3 30. Nd6 Rcc3 31. dxe6 Rxe3 0-1",-444,1.00001089881315,2.50017334031931,-1.50016244150615,"black","D00 - D69"
"FIDE World Cup 2011","Khanty-Mansiysk RUS",2011-08-28,1.1,"Ivanchuk, Vassily","Steel, Henry Robert","1-0",2768,2362,"E68","1. c4 Nf6 2. Nc3 g6 3. g3 Bg7 4. Bg2 O-O 5. d4 d6 6. Nf3 Nbd7 7. O-O e5 8. e4 c6 9. Rb1 exd4 10. Nxd4 Re8 11. h3 Nc5 12. Re1 a5 13. b3 Nfd7 14. Be3 Ne5 15. Re2 f5 16. exf5 Bxf5 17. Nxf5 gxf5 18. Rc2 Ng6 19. Qd2 Qf6 20. f4 Nh8 21. Re1 Nf7 22. Re2 Re7 23. Bf2 Rae8 24. Rxe7 Qxe7 25. Kh2 Ra8 26. Rc1 Qf6 27. Ne2 Qb2 28. Rc2 Qb1 29. Nd4 Bxd4 30. Bxd4 Re8 31. Bb2 Kf8 32. Qc3 Re6 33. Bc1 Ne4 34. Qd3 Qa1 35. Bb2 Qb1 36. Qe2 Nc5 37. Qd2 Ne4 38. Bxe4 fxe4 39. Qe2 e3 40. Bd4 c5 41. Bc3 Re4 42. Rb2 Qc1 43. Qd3 Re6 44. Rb1 Qa3 45. f5 Re8 46. f6 Kg8 47. Qf5 Kh8 48. Qd7 Rf8 49. Qxd6 Nxd6 50. f7# 1-0",406,2.38749325427955,1.00002940630221,1.38746384797734,"white","E60 - E99"
"FIDE World Cup 2011","Khanty-Mansiysk RUS",2011-08-28,1.1,"Ibrahim, Hatim","Mamedyarov, Shakhriyar","0-1",2402,2765,"E67","1. Nf3 Nf6 2. c4 g6 3. Nc3 Bg7 4. g3 O-O 5. Bg2 d6 6. O-O Nbd7 7. d4 e5 8. b3 exd4 9. Nxd4 Re8 10. Bb2 Nc5 11. Qc2 h5 12. Rad1 h4 13. b4 Ncd7 14. c5 dxc5 15. bxc5 c6 16. Nb3 Qe7 17. Rfe1 Ne5 18. Bc1 Bf5 19. Ne4 Nfd7 20. Be3 Ng4 21. Bd4 Bh6 22. h3 Bxe4 23. Bxe4 Qxe4 24. Qxe4 Rxe4 25. hxg4 Rxg4 26. Be3 Bxe3 27. Rxd7 Bh6 28. Rxb7 hxg3 29. fxg3 Rxg3+ 30. Kf2 Rc3 31. Rd1 Rc2 32. Rdd7 Re8 33. Re7 Rxe7 34. Rxe7 Rxa2 35. Nd4 Bf8 36. Re5 f6 37. Re8 Kf7 38. Rc8 Bxc5 0-1",-363,1.00022355257321,2.36798480920598,-1.36776125663277,"black","E60 - E99"
"FIDE World Cup 2011","Khanty-Mansiysk RUS",2011-08-28,1.1,"Ponomariov, Ruslan","Gwaze, Robert","1-0",2764,2434,"B40","1. e4 c5 2. Nf3 e6 3. d3 Nc6 4. g3 e5 5. Bg2 d6 6. O-O Be7 7. c3 Nf6 8. Nbd2 O-O 9. a3 b5 10. Re1 Kh8 11. d4 Bd7 12. b4 cxd4 13. cxd4 exd4 14. Bb2 Rc8 15. Nb3 a5 16. bxa5 Bg4 17. h3 Bxf3 18. Qxf3 Nd7 19. Qe2 Nc5 20. Nxd4 Nxd4 21. Bxd4 Nb3 22. Bb6 Qd7 23. Rad1 f6 24. Qe3 Qe6 25. Rb1 Nc5 26. Rxb5 Qa2 27. h4 Na4 28. Bd4 Qc2 29. h5 h6 30. Qb3 Qxb3 31. Rxb3 Rc4 32. Rb4 d5 33. Rxc4 dxc4 34. a6 Bc5 35. Bxc5 Nxc5 36. Rc1 Nxa6 37. Rxc4 Re8 38. Bh3 Kg8 39. Rc6 Nb8 40. Rb6 Rd8 41. a4 1-0",330,2.36133567488275,1.0009515207976,1.36038415408515,"white","B20 - B99"
"FIDE World Cup 2011","Khanty-Mansiysk RUS",2011-08-28,1.1,"Hansen, Eric","Gashimov, Vugar","0-1",2449,2760,"A61","1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. Nf3 g6 7. h3 a6 8. a4 Qe7 9. Nd2 Nbd7 10. e4 Ne5 11. Be2 g5 12. Nf1 h6 13. Ng3 Bg7 14. Qc2 O-O 15. Bd2 Bd7 16. O-O g4 17. Rae1 gxh3 18. f4 Ng6 19. Nf5 Bxf5 20. exf5 Nh4 21. Bd1 Qd8 22. g4 Ng2 23. g5 Nxe1 24. Rxe1 Re8 25. gxf6 Rxe1+ 26. Bxe1 Qxf6 27. Kh2 Qd4 28. Ne4 Re8 29. Bf3 Qe3 30. Nxd6 Re7 31. Qd1 Qxe1 32. Qxe1 Rxe1 33. Nxb7 Re3 34. Bh1 Bf8 35. d6 Rd3 36. Nxc5 Rxd6 37. Kxh3 a5 38. Ne4 Rb6 39. Kg4 Rxb2 40. Nf6+ Kh8 41. Bd5 Rb4 42. Bc6 Rb6 0-1",-311,1.0017799527521,2.33402197085965,-1.33224201810755,"black","A50 - A79"
"FIDE World Cup 2011","Khanty-Mansiysk RUS",2011-08-28,1.1,"Grischuk, Alexander","Genba, Vladimir","1-0",2746,2452,"D37","1. d4 d5 2. c4 e6 3. Nf3 Nf6 4. Nc3 dxc4 5. Qa4+ Nbd7 6. e4 Be7 7. Bxc4 O-O 8. Qc2 c5 9. dxc5 Bxc5 10. O-O Ng4 11. Bf4 Qf6 12. Bg3 Nge5 13. Nxe5 Nxe5 14. Be2 Nc6 15. e5 Qe7 16. Qe4 Nd4 17. Bh4 Nxe2+ 18. Nxe2 Qd7 19. Rad1 Qb5 20. Qg4 Kh8 21. Bf6 gxf6 22. exf6 1-0",294,2.22997249192532,1.00200942671267,1.22796306521265,"white","D00 - D69"
"FIDE World Cup 2011","Khanty-Mansiysk RUS",2011-08-28,1.1,"De La Paz Perdomo, Frank","Radjabov, Teimour","0-1",2477,2744,"B30","1. e4 c5 2. Nf3 Nc6 3. Bb5 e6 4. c3 a6 5. Ba4 c4 6. O-O Nge7 7. d4 cxd3 8. Qxd3 Ng6 9. Bxc6 bxc6 10. b3 Be7 11. Ba3 c5 12. Qe3 Qc7 13. Nbd2 O-O 14. c4 Bb7 15. Bb2 f5 16. Rfe1 Rf7 17. Rad1 Raf8 18. Qc3 Bf6 19. e5 Be7 20. Qe3 Qc6 21. Re2 h6 22. Ba3 Rc8 23. Ree1 Bg5 24. Qe2 Nf4 25. Qf1 Bd8 26. Re3 g5 27. Nb1 g4 28. Rd6 Qc7 29. Ne1 Be7 30. Bb2 Bxd6 31. exd6 Qc6 32. Be5 Nh3+ 33. Kh1 f4 34. Rxh3 gxh3 35. Nf3 Rg7 0-1",-267,1.00524460295149,2.21413217643862,-1.20888757348713,"black","B20 - B99"
"FIDE World Cup 2011","Khanty-Mansiysk RUS",2011-08-28,1.1,"Kamsky, Gata","Di Berardino, Diego Rafael","1-0",2741,2480,"B90","1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 a6 6. Be3 e6 7. g4 h6 8. f4 Nc6 9. Qf3 Nxd4 10. Bxd4 Qc7 11. Qg3 b5 12. Bg2 Bb7 13. e5 Nd7 14. exd6 Bxd6 15. Bxb7 Qxb7 16. O-O-O Qc7 17. Rhf1 O-O 18. g5 hxg5 19. Qxg5 f6 20. Qg4 Rae8 21. Ne4 Bc5 22. Bc3 b4 23. Rxd7 Be3+ 24. Kb1 Qxd7 25. Nxf6+ Rxf6 26. Bxf6 Qf7 27. Be5 Bb6 28. Qe2 Qb7 29. b3 Rc8 30. Rd1 Rd8 31. Bd6 Qd7 32. Rd3 Qf7 33. Bxb4 Rxd3 34. cxd3 1-0",261,2.18996614986189,1.00584883329412,1.18411731656777,"white","B20 - B99"
"FIDE World Cup 2011","Khanty-Mansiysk RUS",2011-08-28,1.1,"Lima, Darcy","Svidler, Peter","1/2-1/2",2493,2739,"D85","1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. cxd5 Nxd5 5. e4 Nxc3 6. bxc3 Bg7 7. Nf3 c5 8. Be3 Qa5 9. Nd2 Nd7 10. Rc1 Qxa2 11. Be2 O-O 12. O-O Qa5 13. d5 b5 14. c4 b4 15. f4 Qc7 16. e5 a5 17. Ne4 a4 18. Ra1 a3 19. Ra2 Ra5 20. Qb3 Ba6 21. h4 e6 22. dxe6 fxe6 23. h5 Qc6 24. Ng5 Re8 25. hxg6 hxg6 26. Bd3 Nf8 27. Qb1 Re7 28. Bxg6 Bxc4 29. Bh7+ Kh8 30. Be4 Bd5 31. g4 Bxe4 32. Nxe4 b3 33. Rh2+ Kg8 34. Nf6+ Bxf6 35. exf6 Rb7 36. Qe1 b2 37. Qxa5 b1=Q 38. Rxb1 Rxb1+ 39. Kf2 Rb2+ 40. Kg3 Rxh2 41. Kxh2 Qf3 1/2-1/2",-246,1.00924370906012,2.17359967438766,-1.16435596532754,"draw","D70 - D99"
"FIDE World Cup 2011","Khanty-Mansiysk RUS",2011-08-28,1.1,"Jakovenko, Dmitry","Salem, A.R. Saleh","1-0",2736,2493,"B69","1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 Nc6 6. Bg5 e6 7. Qd2 a6 8. O-O-O Be7 9. f4 Bd7 10. Nf3 b5 11. Bxf6 gxf6 12. Kb1 Qb6 13. f5 O-O-O 14. Qe1 Kb8 15. fxe6 fxe6 16. g3 Bc8 17. Bh3 Rhe8 18. Ne2 Ne5 19. Rf1 Nc4 20. Nf4 Bf8 21. Qf2 Qb7 22. Rfe1 Bh6 23. Bg2 Rf8 24. Re2 d5 25. exd5 e5 26. Nd3 Qxd5 27. b3 Qd6 28. bxc4 bxc4 29. c3 Bb7 30. Rb2 Rd7 31. Nh4 cxd3 32. Nf5 Qe6 33. Qf3 e4 34. Qxe4 Qxe4 35. Bxe4 1-0",243,2.14869258317374,1.00924370906012,1.13944887411362,"white","B20 - B99"
