kod;nazwa;bezrobocie;produkcja;wynagrodzenie;liczba_ludnosci
0201;Powiat boles³awiecki;8,9;30643;3422,9;90180
0202;Powiat dzier¿oniowski;15,8;19273;3299,96;102649
0203;Powiat g³ogowski;13,6;3354;3460,12;89989
0204;Powiat górowski;23,4;3557;3142,52;35715
0205;Powiat jaworski;18,6;13856;3142,45;51176
0206;Powiat jeleniogórski;15,7;17512;3232,5;64395
0207;Powiat kamiennogórski;15,6;21417;3161,57;44262
0208;Powiat k³odzki;23,6;9183;3333,36;161452
0209;Powiat legnicki;17,4;15166;3354,83;55182
0210;Powiat lubañski;17,8;8343;3195,72;55238
0211;Powiat lubiñski;8,9;0;6807,05;106355
0212;Powiat lwówecki;22,4;10692;3132,07;46527
0213;Powiat milicki;14,5;13591;3082,62;37148
0214;Powiat oleœnicki;12,0;26344;3308,51;106794
0215;Powiat o³awski;8,7;74965;3538,01;76329
0216;Powiat polkowicki;7,8;0;4292,91;63081
0217;Powiat strzeliñski;15,1;20726;3485,97;44052
0218;Powiat œredzki;10,5;49254;3879,13;53181
0219;Powiat œwidnicki;11,2;26441;3547,6;158939
0220;Powiat trzebnicki;10,9;20019;3226,5;84063
0221;Powiat wa³brzyski;24,9;4997;3213,78;56788
0222;Powiat wo³owski;18,3;50002;3791,34;47137
0223;Powiat wroc³awski;3,9;101129;3814,74;137419
0224;Powiat z¹bkowicki;19,0;10608;3284,04;66527
0225;Powiat zgorzelecki;12,1;6231;3551,19;91258
0226;Powiat z³otoryjski;24,5;10539;3681,55;44381
0261;Powiat m.Jelenia Góra;7,5;21149;3577,03;80524
0262;Powiat m.Legnica;8,5;32519;3406,69;100718
0264;Powiat m.Wroc³aw;4,1;27585;4337,99;637683
0265;Powiat m.Wa³brzych od 2013;13,1;65837;3943,28;114568
0401;Powiat aleksandrowski;22,3;12434;2992,7;55347
0402;Powiat brodnicki;13,2;31447;3146,55;78630
0403;Powiat bydgoski;11,8;21841;3410,14;114418
0404;Powiat che³miñski;20,9;13032;3250,6;52236
0405;Powiat golubsko-dobrzyñski;20,1;33612;3374,6;45250
0406;Powiat grudzi¹dzki;20,4;17698;3305,5;40364
0407;Powiat inowroc³awski;20,0;34938;3196,03;162011
0408;Powiat lipnowski;25,5;4528;2898,1;66575
0409;Powiat mogileñski;18,8;10417;3155,63;46197
0410;Powiat nakielski;20,7;6088;3122,28;86774
0411;Powiat radziejowski;22,9;14974;2931,39;41169
0412;Powiat rypiñski;18,5;18117;3089,22;44219
0413;Powiat sêpoleñski;21,5;8166;3148,04;41392
0414;Powiat œwiecki;15,2;55243;3482,66;99661
0415;Powiat toruñski;17,9;13921;3036,13;104477
0416;Powiat tucholski;18,7;10173;2983,14;48416
0417;Powiat w¹brzeski;20,1;17703;3204,19;34752
0418;Powiat w³oc³awski;25,4;8141;3058,58;86605
0419;Powiat ¿niñski;19,3;5943;2927,35;70528
0461;Powiat m.Bydgoszcz;7,4;25389;3677,79;353938
0462;Powiat m.Grudzi¹dz;16,4;18947;3196;95964
0463;Powiat m.Toruñ;8,1;25208;3876;202521
0464;Powiat m.W³oc³awek;18,9;47584;3530,87;112483
0601;Powiat bialski;14,6;4129;3045,06;112398
0602;Powiat bi³gorajski;8,3;13212;3200,89;102272
0603;Powiat che³mski;18,0;2183;3150,13;79088
0604;Powiat hrubieszowski;18,3;1694;3194,54;65195
0605;Powiat janowski;13,1;11891;3321,2;46596
