"TIME","GEO","UNIT","Value","Flag and Footnotes"
"2017","DE","Inhabitants per square kilometre","234.0",""
"2017","DE1","Inhabitants per square kilometre","310.8",""
"2017","DE11","Inhabitants per square kilometre","389.8",""
"2017","DE111","Inhabitants per square kilometre","3,060.1",""
"2017","DE112","Inhabitants per square kilometre","627.4",""
"2017","DE113","Inhabitants per square kilometre","827.8",""
"2017","DE114","Inhabitants per square kilometre","397.9",""
"2017","DE115","Inhabitants per square kilometre","788.7",""
"2017","DE116","Inhabitants per square kilometre","493.9",""
"2017","DE117","Inhabitants per square kilometre","1,244.4",""
"2017","DE118","Inhabitants per square kilometre","308.9",""
"2017","DE119","Inhabitants per square kilometre","142.9",""
"2017","DE11A","Inhabitants per square kilometre","130.4",""
"2017","DE11B","Inhabitants per square kilometre","101.5",""
"2017","DE11C","Inhabitants per square kilometre","210.1",""
"2017","DE11D","Inhabitants per square kilometre","206.6",""
"2017","DE12","Inhabitants per square kilometre","406.3",""
"2017","DE121","Inhabitants per square kilometre","392.2",""
"2017","DE122","Inhabitants per square kilometre","1,840.0",""
"2017","DE123","Inhabitants per square kilometre","413.8",""
"2017","DE124","Inhabitants per square kilometre","317.5",""
"2017","DE125","Inhabitants per square kilometre","1,497.7",""
"2017","DE126","Inhabitants per square kilometre","2,188.5",""
"2017","DE127","Inhabitants per square kilometre","127.6",""
"2017","DE128","Inhabitants per square kilometre","517.6",""
"2017","DE129","Inhabitants per square kilometre","1,264.2",""
"2017","DE12A","Inhabitants per square kilometre","196.6",""
"2017","DE12B","Inhabitants per square kilometre","344.6",""
"2017","DE12C","Inhabitants per square kilometre","134.7",""
"2017","DE13","Inhabitants per square kilometre","242.6",""
"2017","DE131","Inhabitants per square kilometre","1,494.2",""
"2017","DE132","Inhabitants per square kilometre","191.4",""
"2017","DE133","Inhabitants per square kilometre","242.2",""
"2017","DE134","Inhabitants per square kilometre","230.4",""
"2017","DE135","Inhabitants per square kilometre","180.2",""
"2017","DE136","Inhabitants per square kilometre","205.7",""
"2017","DE137","Inhabitants per square kilometre","189.0",""
"2017","DE138","Inhabitants per square kilometre","367.7",""
"2017","DE139","Inhabitants per square kilometre","284.2",""
"2017","DE13A","Inhabitants per square kilometre","150.8",""
"2017","DE14","Inhabitants per square kilometre","212.0",""
"2017","DE141","Inhabitants per square kilometre","260.9",""
"2017","DE142","Inhabitants per square kilometre","434.7",""
"2017","DE143","Inhabitants per square kilometre","204.6",""
"2017","DE144","Inhabitants per square kilometre","1,048.5",""
"2017","DE145","Inhabitants per square kilometre","143.0",""
"2017","DE146","Inhabitants per square kilometre","140.3",""
"2017","DE147","Inhabitants per square kilometre","479.5",""
"2017","DE148","Inhabitants per square kilometre","173.5",""
"2017","DE149","Inhabitants per square kilometre","108.5",""
"2017","DE2","Inhabitants per square kilometre","185.5",""
"2017","DE21","Inhabitants per square kilometre","270.1",""
"2017","DE211","Inhabitants per square kilometre","1,034.2",""
"2017","DE212","Inhabitants per square kilometre","4,710.2",""
"2017","DE213","Inhabitants per square kilometre","1,699.4",""
"2017","DE214","Inhabitants per square kilometre","195.2",""
"2017","DE215","Inhabitants per square kilometre","125.9",""
"2017","DE216","Inhabitants per square kilometre","116.2",""
"2017","DE217","Inhabitants per square kilometre","262.6",""
"2017","DE218","Inhabitants per square kilometre","255.8",""
"2017","DE219","Inhabitants per square kilometre","108.4",""
"2017","DE21A","Inhabitants per square kilometre","156.5",""
"2017","DE21B","Inhabitants per square kilometre","222.0",""
"2017","DE21C","Inhabitants per square kilometre","499.6",""
"2017","DE21D","Inhabitants per square kilometre","88.0",""
"2017","DE21E","Inhabitants per square kilometre","158.8",""
"2017","DE21F","Inhabitants per square kilometre","115.9",""
"2017","DE21G","Inhabitants per square kilometre","142.1",""
"2017","DE21H","Inhabitants per square kilometre","524.2",""
"2017","DE21I","Inhabitants per square kilometre","131.1",""
"2017","DE21J","Inhabitants per square kilometre","166.7",""
"2017","DE21K","Inhabitants per square kilometre","182.5",""
"2017","DE21L","Inhabitants per square kilometre","318.0",""
"2017","DE21M","Inhabitants per square kilometre","121.5",""
"2017","DE21N","Inhabitants per square kilometre","140.2",""
"2017","DE22","Inhabitants per square kilometre","119.4",""
"2017","DE221","Inhabitants per square kilometre","1,069.8",""
"2017","DE222","Inhabitants per square kilometre","791.2",""
"2017","DE223","Inhabitants per square kilometre","728.7",""
"2017","DE224","Inhabitants per square kilometre","139.0",""
"2017","DE225","Inhabitants per square kilometre","79.5",""
"2017","DE226","Inhabitants per square kilometre","113.8",""
"2017","DE227","Inhabitants per square kilometre","116.4",""
"2017","DE228","Inhabitants per square kilometre","125.1",""
