"TIME","GEO","GEO_LABEL","UNIT","UNIT_LABEL","ICCS","ICCS_LABEL","Value","Flag and Footnotes"
"2010","FR","France","NR","Number","ICCS0101","Intentional homicide","675",""
"2010","FR1","Île de France","NR","Number","ICCS0101","Intentional homicide","139",""
"2010","FR10","Île de France","NR","Number","ICCS0101","Intentional homicide","139",""
"2010","FR101","Paris","NR","Number","ICCS0101","Intentional homicide","42",""
"2010","FR102","Seine-et-Marne","NR","Number","ICCS0101","Intentional homicide","6",""
"2010","FR103","Yvelines","NR","Number","ICCS0101","Intentional homicide","10",""
"2010","FR104","Essonne","NR","Number","ICCS0101","Intentional homicide","7",""
"2010","FR105","Hauts-de-Seine","NR","Number","ICCS0101","Intentional homicide","19",""
"2010","FR106","Seine-Saint-Denis","NR","Number","ICCS0101","Intentional homicide","18",""
"2010","FR107","Val-de-Marne","NR","Number","ICCS0101","Intentional homicide","22",""
"2010","FR108","Val-d'Oise","NR","Number","ICCS0101","Intentional homicide","15",""
"2010","FR2","Bassin Parisien (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","109",""
"2010","FR21","Champagne-Ardenne (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","13",""
"2010","FR211","Ardennes (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","2",""
"2010","FR212","Aube (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","2",""
"2010","FR213","Marne (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","6",""
"2010","FR214","Haute-Marne (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","3",""
"2010","FR22","Picardie (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","18",""
"2010","FR221","Aisne (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","8",""
"2010","FR222","Oise (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","5",""
"2010","FR223","Somme (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","5",""
"2010","FR23","Haute-Normandie (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","29",""
"2010","FR231","Eure (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","9",""
"2010","FR232","Seine-Maritime (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","20",""
"2010","FR24","Centre (FR) (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","25",""
"2010","FR241","Cher (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","3",""
"2010","FR242","Eure-et-Loir (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","5",""
"2010","FR243","Indre (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","1",""
"2010","FR244","Indre-et-Loire (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","3",""
"2010","FR245","Loir-et-Cher (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","6",""
"2010","FR246","Loiret (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","7",""
"2010","FR25","Basse-Normandie (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","10",""
"2010","FR251","Calvados (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","3",""
"2010","FR252","Manche (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","1",""
"2010","FR253","Orne (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","6",""
"2010","FR26","Bourgogne (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","14",""
"2010","FR261","Côte-d'Or (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","1",""
"2010","FR262","Nièvre (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","1",""
"2010","FR263","Saône-et-Loire (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","9",""
"2010","FR264","Yonne (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","3",""
"2010","FR3","Nord - Pas-de-Calais (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","31",""
"2010","FR30","Nord - Pas-de-Calais (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","31",""
"2010","FR301","Nord (FR) (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","21",""
"2010","FR302","Pas-de-Calais (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","10",""
"2010","FR4","Est (FR) (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","48",""
"2010","FR41","Lorraine (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","17",""
"2010","FR411","Meurthe-et-Moselle (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","4",""
"2010","FR412","Meuse (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","0",""
"2010","FR413","Moselle (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","12",""
"2010","FR414","Vosges (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","1",""
"2010","FR42","Alsace (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","20",""
"2010","FR421","Bas-Rhin (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","14",""
"2010","FR422","Haut-Rhin (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","6",""
"2010","FR43","Franche-Comté (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","11",""
"2010","FR431","Doubs (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","3",""
"2010","FR432","Jura (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","5",""
"2010","FR433","Haute-Saône (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","0",""
"2010","FR434","Territoire de Belfort (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","3",""
"2010","FR5","Ouest (FR) (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","65",""
"2010","FR51","Pays de la Loire (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","26",""
"2010","FR511","Loire-Atlantique (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","6",""
"2010","FR512","Maine-et-Loire (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","4",""
"2010","FR513","Mayenne (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","4",""
"2010","FR514","Sarthe (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","2",""
"2010","FR515","Vendée (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","10",""
"2010","FR52","Bretagne (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","31",""
"2010","FR521","Côtes-d'Armor (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","5",""
"2010","FR522","Finistère (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","13",""
"2010","FR523","Ille-et-Vilaine (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","9",""
"2010","FR524","Morbihan (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","4",""
"2010","FR53","Poitou-Charentes (NUTS 2013)","NR","Number","ICCS0101","Intentional homicide","8",""
