"TIME","GEO","UNIT","Value","Flag and Footnotes"
"2017","DE","NR","932,272",""
"2017","DE1","NR","109,120",""
"2017","DE11","NR","39,888",""
"2017","DE111","NR","5,419",""
"2017","DE112","NR","3,511",""
"2017","DE113","NR","5,072",""
"2017","DE114","NR","2,713",""
"2017","DE115","NR","5,011",""
"2017","DE116","NR","4,304",""
"2017","DE117","NR","1,356",""
"2017","DE118","NR","3,218",""
"2017","DE119","NR","1,147",""
"2017","DE11A","NR","1,865",""
"2017","DE11B","NR","1,551",""
"2017","DE11C","NR","1,498",""
"2017","DE11D","NR","3,223",""
"2017","DE12","NR","28,985",""
"2017","DE121","NR","759",""
"2017","DE122","NR","3,022",""
"2017","DE123","NR","4,664",""
"2017","DE124","NR","2,461",""
"2017","DE125","NR","1,198",""
"2017","DE126","NR","3,222",""
"2017","DE127","NR","1,737",""
"2017","DE128","NR","5,655",""
"2017","DE129","NR","1,488",""
"2017","DE12A","NR","1,628",""
"2017","DE12B","NR","1,905",""
"2017","DE12C","NR","1,246",""
"2017","DE13","NR","22,630",""
"2017","DE131","NR","1,847",""
"2017","DE132","NR","2,456",""
"2017","DE133","NR","1,608",""
"2017","DE134","NR","4,407",""
"2017","DE135","NR","1,466",""
"2017","DE136","NR","2,461",""
"2017","DE137","NR","1,396",""
"2017","DE138","NR","2,823",""
"2017","DE139","NR","2,412",""
"2017","DE13A","NR","1,754",""
"2017","DE14","NR","17,617",""
"2017","DE141","NR","2,836",""
"2017","DE142","NR","1,767",""
"2017","DE143","NR","2,075",""
"2017","DE144","NR","1,099",""
"2017","DE145","NR","1,875",""
"2017","DE146","NR","1,841",""
"2017","DE147","NR","2,142",""
"2017","DE148","NR","2,637",""
"2017","DE149","NR","1,345",""
"2017","DE2","NR","133,902",""
"2017","DE21","NR","42,105",""
"2017","DE211","NR","1,252",""
"2017","DE212","NR","11,343",""
"2017","DE213","NR","625",""
"2017","DE214","NR","1,232",""
"2017","DE215","NR","1,160",""
"2017","DE216","NR","1,221",""
"2017","DE217","NR","1,355",""
"2017","DE218","NR","1,185",""
"2017","DE219","NR","1,102",""
"2017","DE21A","NR","1,109",""
"2017","DE21B","NR","1,412",""
"2017","DE21C","NR","2,078",""
"2017","DE21D","NR","1,056",""
"2017","DE21E","NR","1,039",""
"2017","DE21F","NR","1,036",""
"2017","DE21G","NR","1,313",""
"2017","DE21H","NR","3,055",""
"2017","DE21I","NR","923",""
"2017","DE21J","NR","1,179",""
"2017","DE21K","NR","2,734",""
"2017","DE21L","NR","1,307",""
"2017","DE21M","NR","1,979",""
"2017","DE21N","NR","1,410",""
"2017","DE22","NR","13,366",""
"2017","DE221","NR","850",""
"2017","DE222","NR","618",""
"2017","DE223","NR","602",""
"2017","DE224","NR","1,355",""
"2017","DE225","NR","895",""
"2017","DE226","NR","1,181",""
"2017","DE227","NR","1,470",""
"2017","DE228","NR","2,149",""
"2017","DE229","NR","952",""
"2017","DE22A","NR","1,411",""
"2017","DE22B","NR","977",""
"2017","DE22C","NR","906",""
"2017","DE23","NR","11,945",""
"2017","DE231","NR","540",""
"2017","DE232","NR","1,393",""
"2017","DE233","NR","478",""
"2017","DE234","NR","1,222",""
"2017","DE235","NR","1,510",""
"2017","DE236","NR","1,370",""
"2017","DE237","NR","1,110",""
"2017","DE238","NR","1,808",""
"2017","DE239","NR","1,537",""
"2017","DE23A","NR","977",""
"2017","DE24","NR","13,403",""
"2017","DE241","NR","846",""
"2017","DE242","NR","826",""
"2017","DE243","NR","552",""
"2017","DE244","NR","670",""
"2017","DE245","NR","1,563",""
"2017","DE246","NR","1,247",""
"2017","DE247","NR","1,104",""
"2017","DE248","NR","1,165",""
"2017","DE249","NR","1,467",""
"2017","DE24A","NR","890",""
"2017","DE24B","NR","1,007",""
"2017","DE24C","NR","889",""
"2017","DE24D","NR","1,177",""
"2017","DE25","NR","19,456",""
"2017","DE251","NR","546",""
"2017","DE252","NR","1,114",""
"2017","DE253","NR","1,360",""
"2017","DE254","NR","5,757",""
"2017","DE255","NR","457",""
"2017","DE256","NR","2,099",""
"2017","DE257","NR","1,301",""
"2017","DE258","NR","1,304",""
"2017","DE259","NR","1,942",""
"2017","DE25A","NR","1,157",""
"2017","DE25B","NR","1,278",""
"2017","DE25C","NR","1,141",""
"2017","DE26","NR","14,648",""
"2017","DE261","NR","835",""
"2017","DE262","NR","699",""
"2017","DE263","NR","1,410",""
"2017","DE264","NR","1,752",""
"2017","DE265","NR","1,349",""
"2017","DE266","NR","931",""
"2017","DE267","NR","958",""
"2017","DE268","NR","980",""
"2017","DE269","NR","1,397",""
"2017","DE26A","NR","1,504",""
"2017","DE26B","NR","1,277",""
"2017","DE26C","NR","1,556",""
"2017","DE27","NR","18,979",""
"2017","DE271","NR","2,973",""
"2017","DE272","NR","521",""
"2017","DE273","NR","767",""
"2017","DE274","NR","520",""
"2017","DE275","NR","1,180",""
"2017","DE276","NR","2,445",""
"2017","DE277","NR","983",""
"2017","DE278","NR","1,206",""
"2017","DE279","NR","1,587",""
"2017","DE27A","NR","923",""
"2017","DE27B","NR","1,380",""
"2017","DE27C","NR","1,543",""
"2017","DE27D","NR","1,354",""
"2017","DE27E","NR","1,597",""
"2017","DE3","NR","34,339",""
"2017","DE30","NR","34,339",""
"2017","DE300","NR","34,339",""
"2017","DE4","NR","31,778",""
"2017","DE40","NR","31,778",""
"2017","DE401","NR","1,029",""
"2017","DE402","NR","1,356",""
"2017","DE403","NR","784",""
"2017","DE404","NR","1,671",""
"2017","DE405","NR","2,182",""
"2017","DE406","NR","2,019",""
"2017","DE407","NR","1,617",""
"2017","DE408","NR","1,857",""
"2017","DE409","NR","2,353",""
"2017","DE40A","NR","2,386",""
"2017","DE40B","NR","1,679",""
"2017","DE40C","NR","2,390",""
"2017","DE40D","NR","1,341",""
"2017","DE40E","NR","2,383",""
"2017","DE40F","NR","1,179",""
"2017","DE40G","NR","1,764",""
"2017","DE40H","NR","2,019",""
"2017","DE40I","NR","1,769",""
"2017","DE5","NR","7,905",""
"2017","DE50","NR","7,905",""
"2017","DE501","NR","6,375",""
"2017","DE502","NR","1,530",""
"2017","DE6","NR","17,640",""
"2017","DE60","NR","17,640",""
"2017","DE600","NR","17,640",""
"2017","DE7","NR","66,337",""
"2017","DE71","NR","39,364",""
"2017","DE711","NR","1,414",""
"2017","DE712","NR","5,988",""
"2017","DE713","NR","1,109",""
"2017","DE714","NR","2,873",""
"2017","DE715","NR","3,133",""
"2017","DE716","NR","3,111",""
"2017","DE717","NR","2,519",""
"2017","DE718","NR","2,449",""
"2017","DE719","NR","4,365",""
"2017","DE71A","NR","2,222",""
"2017","DE71B","NR","1,258",""
"2017","DE71C","NR","3,568",""
"2017","DE71D","NR","1,954",""
"2017","DE71E","NR","3,401",""
"2017","DE72","NR","12,049",""
"2017","DE721","NR","2,738",""
"2017","DE722","NR","3,126",""
"2017","DE723","NR","2,054",""
"2017","DE724","NR","2,694",""
"2017","DE725","NR","1,437",""
"2017","DE73","NR","14,924",""
"2017","DE731","NR","2,130",""
"2017","DE732","NR","2,318",""
"2017","DE733","NR","1,551",""
"2017","DE734","NR","3,070",""
"2017","DE735","NR","2,320",""
"2017","DE736","NR","2,060",""
"2017","DE737","NR","1,475",""
"2017","DE8","NR","20,736",""
"2017","DE80","NR","20,736",""
"2017","DE803","NR","2,366",""
"2017","DE804","NR","1,236",""
"2017","DE80J","NR","3,624",""
"2017","DE80K","NR","2,696",""
"2017","DE80L","NR","3,076",""
"2017","DE80M","NR","1,866",""
"2017","DE80N","NR","3,328",""
"2017","DE80O","NR","2,544",""
"2017","DE9","NR","93,713",""
