"TIME","GEO","UNIT","ICCS","Value","Flag and Footnotes"
"2010","DE","Number","ICCS0101","690",""
"2010","DE1","Number","ICCS0101","72",""
"2010","DE111","Number","ICCS0101","6",""
"2010","DE112","Number","ICCS0101","3",""
"2010","DE113","Number","ICCS0101","0",""
"2010","DE114","Number","ICCS0101","0",""
"2010","DE115","Number","ICCS0101","4",""
"2010","DE116","Number","ICCS0101","2",""
"2010","DE117","Number","ICCS0101","1",""
"2010","DE118","Number","ICCS0101","1",""
"2010","DE119","Number","ICCS0101","1",""
"2010","DE11A","Number","ICCS0101","3",""
"2010","DE11B","Number","ICCS0101","1",""
"2010","DE11C","Number","ICCS0101","2",""
"2010","DE11D","Number","ICCS0101","4",""
"2010","DE121","Number","ICCS0101","2",""
"2010","DE122","Number","ICCS0101","3",""
"2010","DE123","Number","ICCS0101","1",""
"2010","DE124","Number","ICCS0101","0",""
"2010","DE125","Number","ICCS0101","1",""
"2010","DE126","Number","ICCS0101","5",""
"2010","DE127","Number","ICCS0101","3",""
"2010","DE128","Number","ICCS0101","3",""
"2010","DE129","Number","ICCS0101","1",""
"2010","DE12A","Number","ICCS0101","1",""
"2010","DE12B","Number","ICCS0101","0",""
"2010","DE12C","Number","ICCS0101","0",""
"2010","DE131","Number","ICCS0101","0",""
"2010","DE132","Number","ICCS0101","1",""
"2010","DE133","Number","ICCS0101","1",""
"2010","DE134","Number","ICCS0101","1",""
"2010","DE135","Number","ICCS0101","2",""
"2010","DE136","Number","ICCS0101","0",""
"2010","DE137","Number","ICCS0101","4",""
"2010","DE138","Number","ICCS0101","1",""
"2010","DE139","Number","ICCS0101","2",""
"2010","DE13A","Number","ICCS0101","0",""
"2010","DE141","Number","ICCS0101","3",""
"2010","DE142","Number","ICCS0101","2",""
"2010","DE143","Number","ICCS0101","2",""
"2010","DE144","Number","ICCS0101","0",""
"2010","DE145","Number","ICCS0101","0",""
"2010","DE146","Number","ICCS0101","1",""
"2010","DE147","Number","ICCS0101","2",""
"2010","DE148","Number","ICCS0101","1",""
"2010","DE149","Number","ICCS0101","1",""
"2010","DE2","Number","ICCS0101","74",""
"2010","DE211","Number","ICCS0101","3",""
"2010","DE212","Number","ICCS0101","9",""
"2010","DE213","Number","ICCS0101","2",""
"2010","DE214","Number","ICCS0101","0",""
"2010","DE215","Number","ICCS0101","0",""
"2010","DE216","Number","ICCS0101","0",""
"2010","DE217","Number","ICCS0101","0",""
"2010","DE218","Number","ICCS0101","2",""
"2010","DE219","Number","ICCS0101","0",""
"2010","DE21A","Number","ICCS0101","0",""
"2010","DE21B","Number","ICCS0101","1",""
"2010","DE21C","Number","ICCS0101","1",""
"2010","DE21D","Number","ICCS0101","0",""
"2010","DE21E","Number","ICCS0101","0",""
"2010","DE21F","Number","ICCS0101","1",""
"2010","DE21G","Number","ICCS0101","0",""
"2010","DE21H","Number","ICCS0101","5",""
