Date;Closing_rate;Change;Turnover;Transactions
03.01.2000;26,7;0;1104790;1718
04.01.2000;25,6;-0,042071214;1356054;2344
05.01.2000;25,3;-0,011787956;1869432;2551
06.01.2000;25,8;0,019570096;1129966;1777
07.01.2000;27;0,045462374;2879179;3206
10.01.2000;27,3;0,011049836;3034484;1255
11.01.2000;26,8;-0,018484815;1158529;789
12.01.2000;26,7;-0,003738322;939589;563
13.01.2000;27,5;0,029522439;1472400;922
14.01.2000;27,3;-0,007299302;2766845;4016
17.01.2000;27,1;-0,007352974;1216408;486
18.01.2000;26,5;-0,022388995;856937;459
19.01.2000;26,6;0,003766483;1064637;1681
20.01.2000;27;0,01492565;1488080;387
21.01.2000;27,2;0,007380107;1081790;1261
24.01.2000;26,4;-0,029852963;814494;1269
25.01.2000;25,4;-0,038614836;1329031;1955
26.01.2000;25,4;0;956725;1610
27.01.2000;25,8;0,015625318;685378;1066
28.01.2000;25,5;-0,01169604;718450;410
31.01.2000;25,1;-0,015810606;619497;1116
01.02.2000;24,8;-0,012024193;986869;1331
02.02.2000;25;0,008032172;1119387;1638
03.02.2000;25,9;0,035367144;1286765;842
04.02.2000;25,6;-0,011650617;990461;433
07.02.2000;25,3;-0,011787956;855721;399
08.02.2000;25;-0,011928571;1232197;662
09.02.2000;24,5;-0,020202707;2136237;2376
10.02.2000;24,3;-0,008196767;980685;2027
11.02.2000;23,3;-0,04202299;2368369;2084
14.02.2000;24;0,02960047;1776213;2316
15.02.2000;24,2;0,008298803;1785337;2148
16.02.2000;23,6;-0,025105921;1235723;1326
17.02.2000;24,5;0,037426406;1151674;1524
18.02.2000;24,7;0,008130126;2095964;1605
21.02.2000;24,2;-0,02045061;755979;1262
22.02.2000;23,7;-0,020877585;799825;1195
23.02.2000;23,5;-0,008474627;1212286;1497
24.02.2000;23;-0,021506205;1391965;1680
25.02.2000;22,7;-0,013129291;843345;1817
28.02.2000;22,3;-0,017778246;1347570;1953
29.02.2000;22,4;0,00447428;597271;1187
01.03.2000;22,5;0,00445435;898877;1431
02.03.2000;23,2;0,030636969;974747;1420
03.03.2000;23,7;0,021322769;712182;1121
06.03.2000;23,5;-0,008474627;662262;1327
07.03.2000;23,3;-0,008547061;558540;1479
08.03.2000;22,9;-0,01731645;651759;992
09.03.2000;22,5;-0,017621601;568505;811
10.03.2000;22,8;0,013245227;572120;790
13.03.2000;22,2;-0,026668247;1098005;1667
14.03.2000;23,2;0,04405999;2350186;1849
15.03.2000;22,5;-0,030636969;798148;927
16.03.2000;23;0,021978907;1060486;1008
17.03.2000;23,3;0,012959145;1422113;1471
20.03.2000;23,1;-0,008620743;565533;810
21.03.2000;22,9;-0,008695707;442960;726
22.03.2000;24;0,04691692;1590628;1533
23.03.2000;24,2;0,008298803;1323582;1902
24.03.2000;24,3;0,004123717;1224277;1410
