"Application_ID","GEO_region","Age","Job_type","Marital_status","Home_status","Car_status","Household_children","Monthly_Income","Monthly_Spendings","Credit_purpose","Credit_amount","Number_of_installments","NotionalValue_t0","NotionalValue_lag1","NotionalValue_lag2","NotionalValue_lag3","NotionalValue_lag4","NotionalValue_lag5","NotionalValue_lag6","NotionalValue_lag7","NotionalValue_lag8","NotionalValue_lag9","NotionalValue_lag10","NotionalValue_lag11","NotionalValue_lag12","DPD_t0","DPD_lag1","DPD_lag2","DPD_lag3","DPD_lag4","DPD_lag5","DPD_lag6","DPD_lag7","DPD_lag8","DPD_lag9","DPD_lag10","DPD_lag11","DPD_lag12","NotionalOverdue_t0","NotionalOverdue_lag1","NotionalOverdue_lag2","NotionalOverdue_lag3","NotionalOverdue_lag4","NotionalOverdue_lag5","NotionalOverdue_lag6","NotionalOverdue_lag7","NotionalOverdue_lag8","NotionalOverdue_lag9","NotionalOverdue_lag10","NotionalOverdue_lag11","NotionalOverdue_lag12","DefFlag"
"CCC20000002",14,48,"Full-time","Maried","Owner","Owner",1,3684,2100,"White-goods",4404,12,9249.257,9249.257,9249.257,9249.257,9249.257,9249.257,9408.47,9444.602,9882.53,9902.813,9902.813,10138.5,10138.5,0,99,68,39,8,0,1,0,9,0,5,0,2,0,719.5664,625.4471,523.8308,260.8073,0,26.1989,0,322.0373,0,316.9752,0,26.1989,NA
"CCC20000004",92,44,"Contract","Maried","Owner","Owner",2,1232,340,"Other",2028,12,971.2346,974.0991,974.0991,975.5216,975.5216,977.9497,982.0378,983.1,984.2977,984.2977,984.2977,987.6614,987.6614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"CCC20000009",51,44,"Full-time","Maried","Owner","Owner",1,3245,260,"White-goods",2256,12,38873.42,39178.89,39178.89,39178.89,39335.78,39335.78,39335.78,39335.78,39335.78,39335.78,39335.78,39335.78,39814.16,12,8,13,0,0,0,9,0,0,0,10,0,0,161.7361,202.0919,174.5412,0,0,0,133.1307,0,0,0,149.6889,0,0,NA
"CCC20000013",3,55,"Full-time","Maried","Owner","No",0,4008,500,"Holidays",2352,24,205769.1,205769.1,205769.1,205769.1,205769.1,205769.1,205769.1,205769.1,205769.1,205769.1,205769.1,205769.1,205769.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"CCC20000014",120,56,"Retired","Divorced","Owner","Owner",0,644,340,"Other",2664,12,9423.139,9423.139,9423.139,9423.139,9423.139,9423.139,9682.537,9682.537,9682.537,9682.537,10150.62,10150.62,10150.62,29,16,0,0,0,0,0,0,0,0,17,0,0,318.3733,310.3028,0,0,0,0,0,0,0,0,450.5084,0,0,NA
"CCC20000015",103,59,"Full-time","Maried","Owner","Owner",1,2483,920,"Holidays",3564,36,1263.606,1263.606,1263.606,1620.871,1783.687,2507.861,2507.861,2574.851,2574.851,2574.851,2849.845,2849.845,3414.887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"CCC20000016",37,59,"Contract","Maried","Owner","Owner",0,616,300,"Other",1740,12,4284.226,4284.226,4920.082,6249.2,7900.057,7900.057,7900.057,10189.04,10189.04,11588.56,12929.77,12929.77,16359.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"CCC20000019",89,68,"Retired","Maried","Owner","Owner",0,1798,1320,"Other",2016,24,145364.9,145364.9,145364.9,145364.9,145364.9,147540.2,147540.2,148273.6,148273.6,148273.6,148732.3,148732.3,152415.7,29,30,0,0,0,0,0,0,0,0,0,0,0,1784.743,826.2311,0,0,0,0,0,0,0,0,0,0,0,NA
"CCC20000020",187,34,"Full-time","Maried","Owner","Owner",1,2767,1120,"Holidays",4896,24,551.5338,551.5338,551.5338,834.9653,1032.886,1032.886,1032.886,1181.608,1181.608,1212.774,1250.126,1327.691,1588.129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"CCC20000022",4,66,"Retired","Widowed","Owner","No",0,1335,580,"Holidays",5100,12,23466.62,23466.62,23466.62,23466.62,24487.89,24487.89,24905.17,25055.07,25170.73,25445.42,25705.36,26245.77,26534.79,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,423.2858,0,0,0,0,0,0,0,0,NA
